log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,murr,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
murr-dataset/movielens/bm/dirichlet_bm_alpha0_seed_2024_filter.log,movielens,bm,alpha0,2024,999611,saved/dirichlet_alpha0_seed_2024_filter_May-02-2026_16-29-59.pth,0.1681,0.3667,0.1123,0.3667,0.0183,915.8427,0.763,0.6304,0.0032,0.0001,0.176446,828.709818,0.318361,6.367219,0.797846,0.02084,0.002343,0.299391,0.496798,0.267864
murr-dataset/movielens/bm/dirichlet_bm_no_dis_seed_2021_filter.log,movielens,bm,no_dis,2021,999611,saved/dirichlet_no_dis_seed_2021_filter_May-04-2026_09-58-01.pth,0.1675,0.3636,0.112,0.3636,0.0182,894.8064,0.7562,0.6389,0.0032,0.0001,0.180884,809.560646,0.328386,6.567715,0.789366,0.020534,0.002417,0.276615,0.492899,0.279298
murr-dataset/movielens/bm/dirichlet_bm_no_dis_seed_2023_filter.log,movielens,bm,no_dis,2023,999611,saved/sasrec_dirichlet_no_dis_bm_May-04-2026_10-03-57.pth,0.1661,0.3627,0.1108,0.3627,0.0181,915.6542,0.7603,0.6345,0.0032,0.0001,0.196573,828.944445,0.320348,6.406954,0.796179,0.020779,0.002358,0.282052,0.498747,0.279298
murr-dataset/movielens/edl/dirichlet_edl_a1_seed_2020_filter.log,movielens,edl,a1,2020,999611,saved/dirichlet_a1_seed_2020_filter_May-02-2026_16-29-59.pth,0.1669,0.3613,0.1123,0.3613,0.0181,909.2477,0.7607,0.6236,0.0033,0.0001,0.207649,822.771151,0.319553,6.39106,0.796847,0.020804,0.002352,0.288794,0.492063,0.271539
murr-dataset/movielens/edl/dirichlet_edl_a1_seed_2022_filter.log,movielens,edl,a1,2022,999611,saved/dirichlet_a1_seed_2022_filter_May-02-2026_16-29-59.pth,0.1658,0.3642,0.11,0.3642,0.0182,909.0859,0.7625,0.6222,0.0033,0.0,0.172184,825.147839,0.319636,6.392715,0.796777,0.020801,0.002353,0.294788,0.499304,0.271948
murr-dataset/movielens/edl/dirichlet_edl_a1_seed_2024_filter.log,movielens,edl,a1,2024,999611,saved/dirichlet_a1_seed_2024_filter_May-02-2026_16-29-59.pth,0.1668,0.3636,0.1114,0.3636,0.0182,919.7847,0.7672,0.6175,0.0033,0.0001,0.17385,834.25024,0.311631,6.232616,0.803444,0.021046,0.002294,0.302693,0.500418,0.267864
murr-dataset/movielens/edl/dirichlet_edl_alpha0_seed_2021_filter.log,movielens,edl,alpha0,2021,999611,saved/dirichlet_alpha0_seed_2021_filter_May-02-2026_16-29-59.pth,0.1663,0.3623,0.1109,0.3623,0.0181,903.6861,0.7574,0.6356,0.0032,0.0001,0.174941,815.323667,0.325381,6.507616,0.791926,0.020626,0.002395,0.276769,0.492342,0.278889
murr-dataset/movielens/edl/dirichlet_edl_alpha0_seed_2023_filter.log,movielens,edl,alpha0,2023,999611,saved/dirichlet_alpha0_seed_2023_filter_May-02-2026_16-29-59.pth,0.165,0.3601,0.1102,0.3601,0.018,919.5125,0.7621,0.6266,0.0033,0.0001,0.194155,830.359603,0.318278,6.365563,0.797915,0.020843,0.002343,0.289917,0.494013,0.271948
murr-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2020_filter.log,movielens,edl,no_dis,2020,999611,saved/sasrec_dirichlet_no_dis_edl_May-04-2026_13-28-22.pth,0.1652,0.3596,0.1106,0.3596,0.018,909.5487,0.761,0.6234,0.0033,0.0001,0.209234,821.161424,0.319495,6.389901,0.796895,0.020805,0.002352,0.289396,0.491228,0.270723
murr-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2022_filter.log,movielens,edl,no_dis,2022,999611,saved/dirichlet_no_dis_seed_2022_filter_May-02-2026_16-29-59.pth,0.1654,0.3631,0.1097,0.3631,0.0182,908.9739,0.7618,0.6219,0.0033,0.0,0.171651,824.586101,0.320762,6.415232,0.795831,0.020767,0.002361,0.284932,0.492342,0.273989
murr-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2024_filter.log,movielens,edl,no_dis,2024,999611,saved/sasrec_dirichlet_no_dis_edl_May-04-2026_13-28-52.pth,0.1661,0.3642,0.1104,0.3642,0.0182,916.1587,0.7645,0.6178,0.0033,0.0001,0.173947,829.076705,0.317235,6.344702,0.798788,0.020875,0.002335,0.298152,0.498468,0.269498
murr-dataset/movielens/de/de_no_dis_all_filter.log,movielens,de,no_dis,,999611,saved/ensemble/amazon/movielens/filter/posthoc/SASRec_DE_posthoc_member1.pth saved/ensemble/amazon/movielens/filter/posthoc/SASRec_DE_posthoc_member2.pth saved/ensemble/amazon/movielens/filter/posthoc/SASRec_DE_posthoc_member3.pth saved/ensemble/amazon/movielens/filter/posthoc/SASRec_DE_posthoc_member4.pth saved/ensemble/amazon/movielens/filter/posthoc/SASRec_DE_posthoc_member5.pth,0.1692,0.3649,0.114,0.3649,0.0182,922.7963,0.7288,0.7629,0.0027,0.0007,0.0,338.759917,0.735041,14.700828,0.199127,0.008101,0.00541,0.054104,0.006962,0.007758
