log_file,dataset,model_type,run_mode,seed,n_inters,checkpoint_path,ndcg_at20,hit_at20,mrr_at20,recall_at20,precision_at20,averagepopularity_at20,giniindex_at20,itemcoverage_at20,shannonentropy_at20,tailpercentage_at20,ARP,APLT,ACLT,PopRSP,PopRSP_p_shorthead,PopRSP_p_longtail,PopREO,PopREO_p_shorthead,PopREO_p_longtail
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ue_seed_2020_default.log,amazon-beauty,bm,ue,2020,2023070,saved/sasrec_dirichlet_ue_bm_Mar-30-2026_14-11-35.pth,0.0378,0.0702,0.0285,0.0702,0.0035,98.4643,0.9151,0.4503,0.0001,0.0105,97.751165,0.138187,2.76374,0.922925,0.000505,2e-05,0.840965,0.097741,0.008444
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ue_seed_2021_default.log,amazon-beauty,bm,ue,2021,2023070,saved/sasrec_dirichlet_ue_bm_Mar-26-2026_20-54-39.pth,0.0388,0.0692,0.03,0.0692,0.0035,87.7502,0.9065,0.4656,0.0001,0.0123,86.946286,0.159655,3.193102,0.909322,0.000492,2.3e-05,0.835055,0.096272,0.008653
beyond-fairness-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2021_default.log,movielens,edl,no_dis,2021,1000209,saved/sasrec_dirichlet_no_dis_edl_Apr-19-2026_15-04-23.pth,0.1651,0.3609,0.1101,0.3609,0.018,906.6429,0.7889,0.5564,0.0032,0.0,832.8037,0.295828,5.916556,0.816182,0.019834,0.002007,0.280641,0.482887,0.271246
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ue_seed_2022_default.log,amazon-beauty,bm,ue,2022,2023070,saved/sasrec_dirichlet_ue_bm_Apr-01-2026_01-18-36.pth,0.0385,0.0696,0.0296,0.0696,0.0035,101.6348,0.9118,0.4573,0.0001,0.0112,101.010455,0.142624,2.852485,0.920153,0.000502,2.1e-05,0.836623,0.096493,0.008583
beyond-fairness-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2022_default.log,movielens,edl,no_dis,2022,1000209,saved/sasrec_dirichlet_no_dis_edl_Apr-20-2026_12-01-23.pth,0.1702,0.3682,0.1145,0.3682,0.0184,909.776,0.7906,0.5512,0.0033,0.0,834.009445,0.293816,5.876325,0.81779,0.019891,0.001994,0.28172,0.48952,0.274328
beyond-fairness-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2023_default.log,movielens,edl,no_dis,2023,1000209,saved/sasrec_dirichlet_no_dis_edl_Apr-20-2026_18-04-49.pth,0.1667,0.3609,0.112,0.3609,0.018,910.7482,0.7928,0.5427,0.0033,0.0,837.119429,0.29029,5.805795,0.820595,0.01999,0.00197,0.29392,0.488193,0.266402
beyond-fairness-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2024_default.log,movielens,edl,no_dis,2024,1000209,saved/sasrec_dirichlet_no_dis_edl_Apr-21-2026_08-39-22.pth,0.1689,0.3652,0.1137,0.3652,0.0183,903.4114,0.7894,0.5543,0.0032,0.0,828.658171,0.298444,5.968874,0.81408,0.019761,0.002025,0.269639,0.486071,0.279613
beyond-fairness-dataset/movielens/edl/dirichlet_edl_no_dis_seed_2020.log,movielens,edl,no_dis,2020,1000209,saved/SASRec_dirichlet_seed_2020_edl_no_dis_posthoc.pth,0.1654,0.3634,0.1096,0.3634,0.0182,909.3637,0.7913,0.5474,0.0033,0.0,71.300872,0.17663,3.532594,0.89822,0.001202,6.4e-05,0.845214,0.096542,0.008098
beyond-fairness-dataset/movielens/edl/dirichlet_edl_ua_seed_2021_default.log,movielens,edl,ua,2021,1000209,saved/sasrec_dirichlet_ua_edl_Apr-19-2026_15-02-28.pth,0.1652,0.3611,0.1101,0.3611,0.0181,906.7775,0.7889,0.5564,0.0032,0.0,832.869396,0.295695,5.913907,0.816288,0.019838,0.002007,0.280894,0.483152,0.271246
beyond-fairness-dataset/amazon-beauty/bm/dirichlet_bm_ue_seed_2023_default.log,amazon-beauty,bm,ue,2023,2023070,saved/sasrec_dirichlet_ue_bm_Apr-01-2026_01-20-16.pth,0.0388,0.0693,0.03,0.0693,0.0035,85.9168,0.9055,0.4658,0.0001,0.0124,85.121502,0.163194,3.26388,0.907031,0.00049,2.4e-05,0.835976,0.096339,0.008607
